app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-05,64,2.0,118.0,23.4624,0.1687,0.2541,0.2992,0.3395,0.3708,0.4074,0.4316,0.5008,0.6302,0.7332,0.8586,0.898
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-05,2,2.0,4.0,65.5588,0.4793,0.4793,0.4793,0.4793,0.4793,0.542,0.6356,0.6356,0.668,0.668,0.668,0.668
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-06,73,2.0,138.0,27.7355,0.0789,0.1251,0.1419,0.159,0.1718,0.1875,0.2136,0.2302,0.3043,0.3992,0.5412,0.6196
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-06,2,2.0,4.0,70.3738,0.0688,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-07,122,2.0,216.0,13.4405,0.2096,0.2962,0.3552,0.4011,0.4548,0.505,0.568,0.6223,0.8392,0.9823,1.1406,1.1711
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-07,120,2.0,210.0,12.5515,0.161,0.2669,0.3405,0.4078,0.477,0.5471,0.5916,0.6448,0.9197,1.1211,1.338,1.345
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-07,71,2.0,134.0,34.4926,0.1433,0.1811,0.2199,0.2671,0.294,0.3157,0.339,0.3539,0.4547,0.5482,0.7019,0.7324
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-07,6,2.0,12.0,4.3971,1.2648,1.732,2.2574,2.4486,2.4936,2.4936,2.4936,2.5286,2.71,3.1333,3.2412,3.2412
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-07,1,2.0,2.0,60.444,0.0433,0.0433,0.317,0.317,0.317,0.317,0.365,0.4743,1.2382,1.2641,1.2641,1.2641
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-08,149,2.0,270.0,60.2495,0.1438,0.1959,0.2487,0.3037,0.34,0.3656,0.3934,0.4186,0.5394,0.6186,0.692,0.7036
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-08,130,2.0,250.0,91.9735,0.2513,0.369,0.4695,0.5284,0.5957,0.6419,0.7287,0.7991,1.1265,1.283,1.4153,1.4196
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-08,69,2.0,124.0,29.7466,0.127,0.1828,0.228,0.2806,0.3302,0.3788,0.4027,0.4448,0.6823,0.9634,1.1474,1.2109
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-08,37,2.0,70.0,28.9162,0.2818,0.3962,0.4573,0.4963,0.509,0.5396,0.5611,0.5729,0.7116,0.8466,1.1088,1.3016
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-08,30,2.0,52.0,6.7317,0.2116,0.2623,0.2744,0.2924,0.3064,0.32,0.3418,0.3556,0.4218,0.4919,0.5274,0.5474
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-08,1,2.0,2.0,48.5417,0.0976,0.0976,0.0976,0.1614,0.1614,0.1614,0.1614,0.3535,0.3535,0.9854,1.2025,1.2025
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-09,128,2.0,238.0,76.5991,0.1982,0.2916,0.3678,0.4355,0.4883,0.5349,0.5872,0.634,0.8959,1.0977,1.2755,1.2861
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-09,126,2.0,238.0,64.5793,0.3255,0.4426,0.5036,0.5379,0.5589,0.5865,0.6002,0.6036,0.6353,0.6563,0.6584,0.6605
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-09,123,2.0,226.0,94.6308,0.2202,0.3295,0.4266,0.494,0.5718,0.6431,0.707,0.7708,1.117,1.3699,1.5794,1.6418
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-09,61,2.0,114.0,37.3089,0.1325,0.175,0.2137,0.237,0.2681,0.3027,0.3195,0.3485,0.4938,0.6546,0.7508,0.8107
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-09,37,2.0,70.0,52.8358,0.7111,0.8442,0.9114,1.0014,1.0936,1.1347,1.2238,1.3142,1.4667,1.5186,1.6009,1.6365
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-09,17,2.0,30.0,51.9936,0.241,0.3028,0.4088,0.5485,0.6639,0.7446,0.8192,0.8366,1.0466,1.5476,1.6137,1.6252
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-10,129,2.0,228.0,89.3817,0.1629,0.2583,0.3199,0.3805,0.4416,0.4887,0.5494,0.5935,0.8732,1.0771,1.2581,1.2969
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-10,123,2.0,228.0,125.398,0.3027,0.3993,0.4604,0.5355,0.5987,0.657,0.7031,0.7437,0.9244,1.0846,1.2667,1.2905
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-10,63,2.0,118.0,40.0267,0.1369,0.2097,0.2667,0.3171,0.3323,0.3698,0.3878,0.4178,0.5823,0.726,0.7936,0.8202
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-10,57,2.0,102.0,84.1183,0.3395,0.4955,0.6091,0.7515,0.8748,1.0106,1.1025,1.1746,1.55,1.7509,1.9616,1.9636
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-10,42,2.0,82.0,62.7551,0.431,0.4769,0.5372,0.6457,0.6952,0.7484,0.761,0.7616,0.798,0.8211,0.8274,0.8497
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-10,26,2.0,52.0,43.474,0.4487,0.6345,0.6825,0.7546,0.7909,0.843,0.8526,0.857,0.997,1.0512,1.12,1.1353
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-11,131,2.0,232.0,110.8852,0.198,0.2965,0.3718,0.4699,0.5233,0.5785,0.6271,0.6713,1.0039,1.2488,1.4668,1.4906
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-11,120,2.0,210.0,123.6376,0.2714,0.4121,0.5258,0.6303,0.7471,0.8084,0.8899,1.0139,1.3268,1.5612,1.7453,1.8071
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-11,58,2.0,110.0,47.2787,0.1381,0.1893,0.2587,0.285,0.3058,0.3314,0.3542,0.3821,0.5692,0.6954,0.7881,0.863
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,unknown,2025-04-11,33,2.0,60.0,50.1121,1.1802,1.294,1.3399,1.3961,1.5055,1.5535,1.596,1.6381,1.7589,1.7794,1.792,1.8821
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-11,31,2.0,58.0,50.0937,0.331,0.3776,0.4034,0.4721,0.4994,0.5018,0.5259,0.5755,0.5891,0.5895,0.5908,0.5908
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-11,20,2.0,34.0,39.2604,0.4274,0.5225,0.6202,0.6814,0.7352,0.7812,0.8482,0.8572,0.9977,1.2197,1.3404,1.3617
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-11,18,2.0,30.0,73.5689,0.6375,0.817,0.9602,0.9833,1.0287,1.1719,1.2433,1.261,1.6209,1.6917,1.8984,1.8984
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-12,122,2.0,222.0,119.1109,0.1821,0.269,0.3381,0.3882,0.4264,0.4623,0.5064,0.5378,0.6996,0.8485,1.0436,1.0513
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-12,117,2.0,206.0,132.3466,0.2178,0.2982,0.3724,0.4475,0.5192,0.5903,0.6437,0.6846,0.9639,1.2893,1.6569,1.6847
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-12,64,2.0,116.0,48.831,0.0848,0.1521,0.1773,0.2099,0.2293,0.2487,0.2712,0.3175,0.5321,0.7052,0.816,0.9396
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,unknown,2025-04-12,54,2.0,94.0,43.0296,0.3401,0.4115,0.4574,0.495,0.5298,0.5566,0.603,0.6778,0.7493,0.7643,0.7809,0.7977
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-12,29,2.0,56.0,79.105,0.26,0.3164,0.3687,0.4692,0.528,0.5511,0.6004,0.6466,0.7913,1.1124,1.176,1.1762
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-12,26,2.0,50.0,37.0152,0.5707,0.6671,0.7436,0.8175,0.8512,0.8826,0.9085,0.9144,1.0464,1.1086,1.144,1.1576
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-12,0,0.0,0.0,19.7187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-13,120,2.0,220.0,124.7568,0.2005,0.2771,0.3364,0.3798,0.4279,0.4641,0.5006,0.545,0.7285,0.8282,0.9516,0.9752
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-13,116,2.0,210.0,147.5225,0.2791,0.4432,0.519,0.5889,0.671,0.7099,0.7784,0.83,1.2893,1.5962,1.882,2.0092
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-13,62,2.0,110.0,55.8288,0.1392,0.169,0.1973,0.23,0.2711,0.2896,0.3298,0.3579,0.5433,0.69,0.7434,0.8011
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,unknown,2025-04-13,50,2.0,90.0,58.5303,0.4374,0.5382,0.5563,0.56,0.5625,0.5741,0.5827,0.6054,0.6439,0.6694,0.6779,0.6779
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-13,25,2.0,46.0,81.6033,0.3963,0.5805,0.727,0.8324,0.9125,0.9877,1.0542,1.1043,1.318,1.5617,1.8611,1.8611
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-13,20,2.0,34.0,27.4883,0.3455,0.4484,0.4704,0.5463,0.5975,0.6093,0.6293,0.6415,0.8332,0.9818,1.0555,1.1389
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-13,0,0.0,0.0,13.7671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-14,124,2.0,216.0,189.356,0.3223,0.5131,0.6136,0.7267,0.8198,0.8878,0.9688,1.0458,1.3843,1.6402,1.8944,1.9253
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-14,119,2.0,216.0,142.0467,0.229,0.3245,0.4077,0.4596,0.5021,0.5455,0.5836,0.6113,0.7528,0.9057,1.0456,1.0787
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,unknown,2025-04-14,79,2.0,144.0,62.7526,0.3777,0.4432,0.5091,0.5709,0.5872,0.6124,0.6201,0.6436,0.6766,0.7041,0.7359,0.7436
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-14,64,2.0,118.0,47.9792,0.1812,0.2565,0.2929,0.3325,0.3658,0.4215,0.4871,0.5643,0.8217,1.0056,1.1734,1.3173
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-14,19,2.0,34.0,34.5226,0.3173,0.3502,0.4867,0.5187,0.5371,0.5549,0.5922,0.6326,0.7519,0.7978,0.855,0.8602
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-14,5,2.0,6.0,65.7217,1.0873,1.1248,1.1406,1.2501,1.2501,1.4322,3.3866,4.354,7.0123,8.844,8.8503,8.8503
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-14,0,0.0,0.0,18.1353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-15,122,2.0,224.0,133.5307,0.1626,0.2185,0.2723,0.3069,0.336,0.3678,0.3979,0.4285,0.6157,0.7494,0.9007,0.9398
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-15,117,2.0,202.0,227.6515,0.3706,0.4968,0.633,0.7353,0.8567,0.9798,1.0667,1.1498,1.5652,1.9928,2.3014,2.417
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,unknown,2025-04-15,68,2.0,130.0,75.294,0.485,0.5328,0.5712,0.5919,0.599,0.6045,0.6264,0.6582,0.709,0.7614,0.7643,0.7765
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-15,67,2.0,116.0,58.7266,0.1758,0.2655,0.3148,0.3414,0.3802,0.4497,0.5041,0.57,0.7477,0.9972,1.1127,1.1551
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-15,19,2.0,32.0,26.9466,0.3964,0.5701,0.6189,0.6799,0.73,0.7609,0.7748,0.8005,1.094,1.1286,1.1451,1.1471
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-15,6,2.0,12.0,67.4515,0.3062,0.3159,0.3619,0.3747,0.3747,0.3747,0.3747,0.3747,0.4086,0.461,0.461,0.461
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-15,0,0.0,0.0,12.5613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-16,120,2.0,214.0,140.4348,0.1881,0.251,0.3124,0.3536,0.3943,0.4279,0.4715,0.5126,0.6548,0.7785,0.8699,0.931
JPC - Android,JPC_AOS_PT_CPI_REG_CNTUS_20250401_Incent_SAP,LV9UVnNKZTY4WjZW,2025-04-16,109,2.0,210.0,203.2032,0.3675,0.5236,0.6527,0.7294,0.8433,0.9241,1.0169,1.0944,1.4099,1.5899,1.8235,1.9052
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-16,72,2.0,140.0,58.6075,0.1333,0.1884,0.2248,0.2736,0.3225,0.3888,0.4511,0.5301,0.7167,0.8799,1.0557,1.1118
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,unknown,2025-04-16,70,2.0,134.0,65.0561,0.213,0.2568,0.2971,0.3072,0.3159,0.3174,0.3185,0.3377,0.3648,0.3786,0.3853,0.3933
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-16,22,2.0,42.0,37.3647,0.4849,0.5483,0.5891,0.6827,0.731,0.7723,0.8505,0.8737,1.0629,1.1487,1.2644,1.2724
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-16,6,2.0,10.0,59.0062,0.1137,0.1628,0.1628,0.1663,0.1663,0.1663,0.174,0.174,0.174,0.2137,0.2137,0.2137
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,MTg2Njl8,2025-04-16,0,0.0,0.0,4.7751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTD - iOS,FD_IOS_PT_CPI_REG_CNTUS_20250401_Incent,unknown,2025-04-17,149,2.0,276.0,69.722,0.2424,0.2677,0.2832,0.2963,0.3214,0.3386,0.3532,0.358,0.3739,0.3835,0.3839,0.3845
CBN OP - Android,OP_AOS_PT_CPI_REG_CNTUS_20250401_Incent,LV9UVnNKZTY4WjZW,2025-04-17,125,2.0,222.0,137.0206,0.151,0.2142,0.2576,0.2958,0.3356,0.3661,0.3978,0.4377,0.6257,0.7979,0.9531,0.9653
